GPU,eBay Price,QTY Sold
Radeon RX 6600,$559,106
Radeon RX 6600 XT,$631,1026
Radeon RX 6700 XT,$859,906
Radeon RX 6800,"$1,260",191
Radeon RX 6800 XT,"$1,314",285
Radeon RX 6900 XT,"$1,512",302
GeForce RTX 3060 12GB,$698,2446
GeForce RTX 3060 Ti,$907,3782
GeForce RTX 3070,"$1,144",2411
GeForce RTX 3070 Ti,"$1,124",1508
GeForce RTX 3080,"$1,666",1872
GeForce RTX 3080 Ti,"$1,829",1439
GeForce RTX 3090,"$2,737",1463
Radeon RX 6600,$588,377
Radeon RX 6600 XT,$665,857
Radeon RX 6700 XT,$945,661
Radeon RX 6800,"$1,332",123
Radeon RX 6800 XT,"$1,384",283
Radeon RX 6900 XT,"$1,599",206
GeForce RTX 3060 12GB,$749,2159
GeForce RTX 3060 Ti,"$1,002",2166
GeForce RTX 3070,"$1,193",2380
GeForce RTX 3070 Ti,"$1,201",1258
GeForce RTX 3080,"$1,720",1448
GeForce RTX 3080 Ti,"$1,895",1483
GeForce RTX 3090,"$2,936",1305
Radeon RX 6600,$578,346
Radeon RX 6600 XT,$659,282
Radeon RX 6700 XT,$898,584
Radeon RX 6800,"$1,282",90
Radeon RX 6800 XT,"$1,387",234
Radeon RX 6900 XT,"$1,527",236
GeForce RTX 3060 12GB,$761,2020
GeForce RTX 3060 Ti,"$1,007",2796
GeForce RTX 3070,"$1,179",1891
GeForce RTX 3070 Ti,"$1,244",1063
GeForce RTX 3080,"$1,783",1495
GeForce RTX 3080 Ti,"$1,992",1141
GeForce RTX 3090,"$2,918",1295
Radeon RX 6500 XT,$365,14
Radeon RX 6600,$516,449
Radeon RX 6600 XT,$610,537
Radeon RX 6700 XT,$847,540
Radeon RX 6800,"$1,150",105
Radeon RX 6800 XT,"$1,269",250
Radeon RX 6900 XT,"$1,528",209
GeForce RTX 3050,$539,17
GeForce RTX 3060 12GB,$711,1834
GeForce RTX 3060 Ti,$923,2380
GeForce RTX 3070,"$1,086",1786
GeForce RTX 3070 Ti,"$1,179",1010
GeForce RTX 3080,"$1,613",1569
GeForce RTX 3080 Ti,"$1,874",871
GeForce RTX 3090,"$2,609",1353
Radeon RX 6500 XT,$272,124
Radeon RX 6600,$463,239
Radeon RX 6600 XT,$568,320
Radeon RX 6700 XT,$783,398
Radeon RX 6800,"$1,033",112
Radeon RX 6800 XT,"$1,176",192
Radeon RX 6900 XT,"$1,421",139
GeForce RTX 3050,$455,330
GeForce RTX 3060 12GB,$636,1485
GeForce RTX 3060 Ti,$847,2084
GeForce RTX 3070,$988,1512
GeForce RTX 3070 Ti,"$1,001",929
GeForce RTX 3080,"$1,440",1222
GeForce RTX 3080 12GB,"$1,547",82
GeForce RTX 3080 Ti,"$1,721",753
GeForce RTX 3090,"$2,341",968
Radeon RX 6500 XT,$237,69
Radeon RX 6600,$403,274
Radeon RX 6600 XT,$495,485
Radeon RX 6700 XT,$643,570
Radeon RX 6800,$888,98
Radeon RX 6800 XT,$996,254
Radeon RX 6900 XT,"$1,256",173
GeForce RTX 3050,$416,221
GeForce RTX 3060 12GB,$580,1135
GeForce RTX 3060 Ti,$754,1935
GeForce RTX 3070,$858,1567
GeForce RTX 3070 Ti,$880,1097
GeForce RTX 3080,"$1,283",1355
GeForce RTX 3080 12GB,"$1,378",69
GeForce RTX 3080 Ti,"$1,531",687
GeForce RTX 3090,"$2,111",983
GeForce RTX 3090 Ti,"$2,724",11
Radeon RX 6500 XT,$221,61
Radeon RX 6600,$365,400
Radeon RX 6600 XT,$422,410
Radeon RX 6700 XT,$554,628
Radeon RX 6800,$755,198
Radeon RX 6800 XT,$845,326
Radeon RX 6900 XT,"$1,059",186
GeForce RTX 3050,$356,98
GeForce RTX 3060 12GB,$480,589
GeForce RTX 3060 Ti,$657,1747
GeForce RTX 3070,$777,1709
GeForce RTX 3070 Ti,$779,1037
GeForce RTX 3080,"$1,114",1419
GeForce RTX 3080 12GB,"$1,025",90
