month,Unix Epoch Time,btc_Price,Radeon RX 6600,Radeon RX 6600 XT,Radeon RX 6700 XT,Radeon RX 6800,Radeon RX 6800 XT,Radeon RX 6900 XT,GeForce RTX 3060 T,GeForce RTX 3070,GeForce RTX 3070 T,GeForce RTX 3080,GeForce RTX 3080 T,GeForce RTX 3090
October,1634428800,57920.97,559.0,631.0,859.0,1260.0,1314.0,1512.0,907.0,1144.0,1124.0,1666.0,1829.0,2737.0
November,1637064000,60709.67,588.0,665.0,945.0,1332.0,1384.0,1599.0,1002.0,1193.0,1201.0,1720.0,1895.0,2936.0
December,1639699200,49321.02,578.0,659.0,898.0,1282.0,1387.0,1527.0,1007.0,1179.0,1244.0,1783.0,1992.0,2918.0
January,1642377600,41105.8,516.0,610.0,847.0,1150.0,1269.0,1528.0,923.0,1086.0,1179.0,1613.0,1874.0,2609.0
Febuary,1644926400,40756.91,463.0,568.0,783.0,1033.0,1176.0,1421.0,847.0,988.0,1001.0,1440.0,1721.0,2341.0
March,1647475200,41965.28,403.0,495.0,643.0,888.0,996.0,1256.0,754.0,858.0,880.0,1283.0,1531.0,2111.0
April,1650110400,41418.43,365.0,422.0,554.0,755.0,845.0,1059.0,657.0,777.0,779.0,1114.0,1291.0,1770.0
May,1652745600,31681.4,290.0,350.0,477.0,655.0,767.0,875.0,579.0,641.0,710.0,899.0,1134.0,1438.0
June,1655380800,24359.51,258.0,299.0,407.0,551.0,625.0,767.0,461.0,518.0,620.0,728.0,956.0,1098.0
July,1658016000,21528.94,235.0,285.0,393.0,513.0,615.0,697.0,437.0,488.0,593.0,696.0,901.0,1057.0
August,1660694400,22356.81,232.0,274.0,378.0,486.0,563.0,685.0,424.0,463.0,547.0,665.0,836.0,957.0
September,1663329600,19800.84,204.0,238.0,337.0,419.0,518.0,645.0,355.0,409.0,493.0,585.0,754.0,834.0
