GPU,eBay Price,QTY Sold,btc_Prices
Radeon RX 6700 XT,984.0,301.0,67562.17
Radeon RX 6800,1324.0,61.0,66954.11
Radeon RX 6800 XT,1588.0,103.0,65468.75
Radeon RX 6900 XT,1874.0,96.0,64976.73
GeForce RTX 3060 12GB,931.0,395.0,64287.64
GeForce RTX 3060 T,1298.0,254.0,64254.67
GeForce RTX 3070,1357.0,818.0,63584.25
GeForce RTX 3080,2177.0,437.0,63293.22
GeForce RTX 3090,3016.0,374.0,63252.63
Radeon RX 6700 XT,944.0,315.0,63241.11
Radeon RX 6800,1314.0,68.0,63070.54
Radeon RX 6800 XT,1511.0,139.0,62969.12
Radeon RX 6900 XT,1845.0,120.0,62954.86
GeForce RTX 3060 12GB,922.0,600.0,62354.86
GeForce RTX 3060 T,1320.0,325.0,61731.29
GeForce RTX 3070,1381.0,1112.0,61546.21
GeForce RTX 3080,2246.0,654.0,61441.83
GeForce RTX 3090,3063.0,545.0,61277.28
Radeon RX 6700 XT,970.0,330.0,61072.32
Radeon RX 6800,1320.0,114.0,60884.18
Radeon RX 6800 XT,1516.0,207.0,60381.35
Radeon RX 6900 XT,1829.0,161.0,60087.09
GeForce RTX 3060 12GB,917.0,725.0,59964.87
GeForce RTX 3060 T,1375.0,283.0,59774.0
GeForce RTX 3070,1391.0,1598.0,58935.45
GeForce RTX 3080,2199.0,904.0,58928.81
GeForce RTX 3090,3025.0,722.0,58735.25
Radeon RX 6700 XT,970.0,429.0,58538.49
Radeon RX 6800,1371.0,115.0,58206.55
Radeon RX 6800 XT,1582.0,141.0,58133.02
Radeon RX 6900 XT,1861.0,127.0,58102.58
GeForce RTX 3060 12GB,909.0,855.0,58085.8
GeForce RTX 3060 T,1416.0,261.0,58048.59
GeForce RTX 3070,1421.0,1679.0,58020.46
GeForce RTX 3080,2235.0,1177.0,57857.5
GeForce RTX 3090,3140.0,751.0,57828.45
Radeon RX 6700 XT,915.0,303.0,57473.23
Radeon RX 6800,1260.0,109.0,57411.17
Radeon RX 6800 XT,1487.0,153.0,57406.69
Radeon RX 6900 XT,1884.0,93.0,57397.74
GeForce RTX 3060 12GB,874.0,693.0,57292.28
GeForce RTX 3060 T,1238.0,264.0,57213.33
GeForce RTX 3070,1300.0,1258.0,57187.54
GeForce RTX 3070 T,1407.0,42.0,57076.49
GeForce RTX 3080,1978.0,1114.0,57025.79
GeForce RTX 3080 T,2307.0,621.0,56921.34
GeForce RTX 3090,3002.0,491.0,56750.0
Radeon RX 6700 XT,769.0,272.0,56508.48
Radeon RX 6800,1052.0,114.0,56507.91
Radeon RX 6800 XT,1304.0,56.0,56428.16
Radeon RX 6900 XT,1559.0,94.0,56301.52
GeForce RTX 3060 12GB,742.0,784.0,56251.48
GeForce RTX 3060 T,1081.0,206.0,56242.94
GeForce RTX 3070,1081.0,1078.0,55883.5
GeForce RTX 3070 T,1104.0,185.0,55783.71
GeForce RTX 3080,1685.0,807.0,55343.76
GeForce RTX 3080 T,1945.0,266.0,55071.46
GeForce RTX 3090,2580.0,400.0,54884.1
Radeon RX 6700 XT,726.0,321.0,54801.15
Radeon RX 6800,1038.0,98.0,54625.74
Radeon RX 6800 XT,1253.0,37.0,54477.46
Radeon RX 6900 XT,1496.0,72.0,54204.96
GeForce RTX 3060 12GB,718.0,616.0,53867.3
GeForce RTX 3060 T,981.0,229.0,53808.8
GeForce RTX 3070,1063.0,762.0,53801.1
GeForce RTX 3070 T,1096.0,174.0,53713.84
GeForce RTX 3080,1636.0,656.0,53588.21
GeForce RTX 3080 T,1886.0,256.0,53584.15
GeForce RTX 3090,2483.0,334.0,53241.72
Radeon RX 6700 XT,812.0,533.0,52677.4
Radeon RX 6800,1103.0,129.0,52508.23
Radeon RX 6800 XT,1195.0,143.0,51415.92
Radeon RX 6900 XT,1521.0,88.0,51153.13
GeForce RTX 3060 12GB,707.0,1068.0,50814.92
GeForce RTX 3060 T,939.0,958.0,50785.69
GeForce RTX 3070,1094.0,1480.0,50564.63
GeForce RTX 3070 T,1075.0,606.0,50511.12
GeForce RTX 3080,1583.0,1306.0,50470.89
GeForce RTX 3080 T,1810.0,402.0,50110.53
GeForce RTX 3090,2341.0,694.0,49947.38
Radeon RX 6600 XT,634.0,209.0,49922.52
Radeon RX 6700 XT,869.0,454.0,49702.27
Radeon RX 6800,1157.0,83.0,49379.67
Radeon RX 6800 XT,1212.0,159.0,49335.68
Radeon RX 6900 XT,1557.0,67.0,49253.86
GeForce RTX 3060 12GB,723.0,1215.0,49143.95
GeForce RTX 3060 T,933.0,1060.0,48972.09
GeForce RTX 3070,1205.0,971.0,48932.02
GeForce RTX 3070 T,1141.0,573.0,48884.66
GeForce RTX 3080,1708.0,911.0,48862.76
GeForce RTX 3080 T,1832.0,546.0,48806.78
GeForce RTX 3090,2567.0,632.0,48628.35
Radeon RX 6600 XT,593.0,450.0,48392.79
Radeon RX 6700 XT,825.0,445.0,48259.45
Radeon RX 6800,1232.0,101.0,48205.72
Radeon RX 6800 XT,1280.0,202.0,48140.11
Radeon RX 6900 XT,1620.0,64.0,47659.68
GeForce RTX 3060 12GB,707.0,1719.0,47658.38
GeForce RTX 3060 T,916.0,1988.0,47601.26
GeForce RTX 3070,1204.0,1029.0,47448.01
GeForce RTX 3070 T,1167.0,541.0,47327.87
GeForce RTX 3080,1666.0,1253.0,47263.6
GeForce RTX 3080 T,1880.0,651.0,47249.38
GeForce RTX 3090,2620.0,854.0,47137.46
Radeon RX 6600 XT,584.0,727.0,47132.96
Radeon RX 6700 XT,869.0,420.0,47115.93
Radeon RX 6800,1314.0,61.0,47112.19
Radeon RX 6800 XT,1328.0,149.0,47072.12
Radeon RX 6900 XT,1526.0,109.0,47064.16
GeForce RTX 3060 12GB,699.0,1581.0,47056.41
GeForce RTX 3060 T,930.0,1643.0,46757.09
GeForce RTX 3070,1213.0,955.0,46689.28
GeForce RTX 3070 T,1174.0,470.0,46441.99
GeForce RTX 3080,1672.0,888.0,46441.64
GeForce RTX 3080 T,1817.0,675.0,46425.52
GeForce RTX 3090,2750.0,647.0,46368.69
Radeon RX 6600,578.0,19.0,46059.12
Radeon RX 6600 XT,629.0,404.0,45982.55
Radeon RX 6700 XT,848.0,457.0,45862.98
Radeon RX 6800,1234.0,113.0,45608.37
Radeon RX 6800 XT,1287.0,131.0,45508.16
Radeon RX 6900 XT,1501.0,132.0,45144.79
GeForce RTX 3060 12GB,695.0,1235.0,44847.48
GeForce RTX 3060 T,899.0,1630.0,44777.86
GeForce RTX 3070,1138.0,1098.0,44634.13
GeForce RTX 3070 T,1111.0,694.0,44418.83
GeForce RTX 3080,1637.0,884.0,44397.3
GeForce RTX 3080 T,1830.0,681.0,43934.85
GeForce RTX 3090,2704.0,686.0,43926.0
Radeon RX 6600,559.0,106.0,43834.02
Radeon RX 6600 XT,631.0,1026.0,43816.14
Radeon RX 6700 XT,859.0,906.0,43757.81
Radeon RX 6800,1260.0,191.0,43596.24
Radeon RX 6800 XT,1314.0,285.0,43531.11
Radeon RX 6900 XT,1512.0,302.0,43464.32
GeForce RTX 3060 12GB,698.0,2446.0,43436.17
GeForce RTX 3060 T,907.0,3782.0,43120.63
GeForce RTX 3070,1144.0,2411.0,43102.44
GeForce RTX 3070 T,1124.0,1508.0,43099.37
GeForce RTX 3080,1666.0,1872.0,42912.19
GeForce RTX 3080 T,1829.0,1439.0,42825.95
GeForce RTX 3090,2737.0,1463.0,42815.56
Radeon RX 6600,588.0,377.0,42723.37
Radeon RX 6600 XT,665.0,857.0,42580.94
Radeon RX 6700 XT,945.0,661.0,42546.44
Radeon RX 6800,1332.0,123.0,42464.4
Radeon RX 6800 XT,1384.0,283.0,42372.67
Radeon RX 6900 XT,1599.0,206.0,42245.56
GeForce RTX 3060 12GB,749.0,2159.0,42238.2
GeForce RTX 3060 T,1002.0,2166.0,42222.32
GeForce RTX 3070,1193.0,2380.0,42214.15
GeForce RTX 3070 T,1201.0,1258.0,42104.89
GeForce RTX 3080,1720.0,1448.0,41849.0
GeForce RTX 3080 T,1895.0,1483.0,41522.38
GeForce RTX 3090,2936.0,1305.0,41507.3
Radeon RX 6600,578.0,346.0,41375.79
Radeon RX 6600 XT,659.0,282.0,41250.83
Radeon RX 6700 XT,898.0,584.0,41148.06
Radeon RX 6800,1282.0,90.0,41071.41
Radeon RX 6800 XT,1387.0,234.0,41011.16
Radeon RX 6900 XT,1527.0,236.0,40946.78
GeForce RTX 3060 12GB,761.0,2020.0,40684.42
GeForce RTX 3060 T,1007.0,2796.0,40619.27
GeForce RTX 3070,1179.0,1891.0,40514.01
GeForce RTX 3070 T,1244.0,1063.0,40388.78
GeForce RTX 3080,1783.0,1495.0,40188.56
GeForce RTX 3080 T,1992.0,1141.0,40115.05
GeForce RTX 3090,2918.0,1295.0,40005.93
Radeon RX 6500 XT,365.0,14.0,40000.46
Radeon RX 6600,516.0,449.0,39770.04
Radeon RX 6600 XT,610.0,537.0,39750.14
Radeon RX 6700 XT,847.0,540.0,39727.65
Radeon RX 6800,1150.0,105.0,39674.89
Radeon RX 6800 XT,1269.0,250.0,39488.62
Radeon RX 6900 XT,1528.0,209.0,39437.89
GeForce RTX 3050,539.0,17.0,39429.01
GeForce RTX 3060 12GB,711.0,1834.0,39399.58
GeForce RTX 3060 T,923.0,2380.0,39320.82
GeForce RTX 3070,1086.0,1786.0,39249.28
GeForce RTX 3070 T,1179.0,1010.0,39193.94
GeForce RTX 3080,1613.0,1569.0,39141.25
GeForce RTX 3080 T,1874.0,871.0,39066.82
GeForce RTX 3090,2609.0,1353.0,38741.04
Radeon RX 6500 XT,272.0,124.0,38739.74
Radeon RX 6600,463.0,239.0,38728.59
Radeon RX 6600 XT,568.0,320.0,38596.28
Radeon RX 6700 XT,783.0,398.0,38510.65
Radeon RX 6800,1033.0,112.0,38475.48
Radeon RX 6800 XT,1176.0,192.0,38407.69
Radeon RX 6900 XT,1421.0,139.0,38382.32
GeForce RTX 3050,455.0,330.0,38344.78
GeForce RTX 3060 12GB,636.0,1485.0,38324.87
GeForce RTX 3060 T,847.0,2084.0,38262.17
GeForce RTX 3070,988.0,1512.0,38032.5
GeForce RTX 3070 T,1001.0,929.0,37820.39
GeForce RTX 3080,1440.0,1222.0,37727.19
GeForce RTX 3080 12GB,1547.0,82.0,37661.19
GeForce RTX 3080 T,1721.0,753.0,37585.24
GeForce RTX 3090,2341.0,968.0,37310.54
Radeon RX 6500 XT,237.0,69.0,37291.48
Radeon RX 6600,403.0,274.0,37146.85
