x,y
1573948800000.00,8482.7
1574035200000.00,8503.93
1574121600000.00,8175.99
1574208000000.00,8120.8
1574294400000.00,8081.81
1574380800000.00,7617.07
1574467200000.00,7286.35
1574553600000.00,7324.03
1574640000000.00,6907.4
1574726400000.00,7130.25
1574812800000.00,7163.63
1574899200000.00,7523.83
1574985600000.00,7431
1575072000000.00,7757.47
1575158400000.00,7557.72
1575244800000.00,7402.69
1575331200000.00,7309.59
1575417600000.00,7296.77
1575504000000.00,7192.85
1575590400000.00,7395.97
1575676800000.00,7547.19
1575763200000.00,7504.83
1575849600000.00,7522.39
1575936000000.00,7337.42
1576022400000.00,7220.76
1576108800000.00,7202.31
1576195200000.00,7189.16
1576281600000.00,7251.87
1576368000000.00,7067.74
1576454400000.00,7111.14
1576540800000.00,6879.54
1576627200000.00,6612.12
1576713600000.00,7284.29
1576800000000.00,7150.86
1576886400000.00,7190.17
1576972800000.00,7143.2
1577059200000.00,7514.41
1577145600000.00,7322.08
1577232000000.00,7250.69
1577318400000.00,7192.72
1577404800000.00,7194.4
1577491200000.00,7243.93
1577577600000.00,7301.07
1577664000000.00,7385.36
1577750400000.00,7219.6
1577836800000.00,7168.31
1577923200000.00,7175.68
1578009600000.00,6944.33
1578096000000.00,7326.35
1578182400000.00,7347.89
1578268800000.00,7351.57
1578355200000.00,7759.24
1578441600000.00,8165.47
1578528000000.00,8042.65
1578614400000.00,7817.92
1578700800000.00,8184.66
1578787200000.00,8021.49
1578873600000.00,8173.97
1578960000000.00,8105.24
1579046400000.00,8842.42
1579132800000.00,8813.89
1579219200000.00,8722.03
1579305600000.00,8900.34
1579392000000.00,8910.85
1579478400000.00,8703.36
1579564800000.00,8626.47
1579651200000.00,8722.26
1579737600000.00,8658.94
1579824000000.00,8388.11
1579910400000.00,8428.17
1579996800000.00,8327.36
1580083200000.00,8588.42
1580169600000.00,8895.78
1580256000000.00,9385.69
1580342400000.00,9279.81
1580428800000.00,9502.37
1580515200000.00,9333.77
1580601600000.00,9378.09
1580688000000.00,9314.56
1580774400000.00,9284.51
1580860800000.00,9162.14
1580947200000.00,9614.9
1581033600000.00,9755.66
1581120000000.00,9807.54
1581206400000.00,9907.12
1581292800000.00,10162.41
1581379200000.00,9854.79
1581465600000.00,10275.38
1581552000000.00,10354.3
1581638400000.00,10242.43
1581724800000.00,10368.53
1581811200000.00,9904.17
1581897600000.00,9937.67
1581984000000.00,9703.93
1582070400000.00,10180.65
1582156800000.00,9604.72
1582243200000.00,9606.86
1582329600000.00,9696.58
1582416000000.00,9669.63
1582502400000.00,9989.39
1582588800000.00,9663.75
1582675200000.00,9309.15
1582761600000.00,8785.52
1582848000000.00,8804.72
1582934400000.00,8712.35
1583020800000.00,8531.42
1583107200000.00,8534.17
1583193600000.00,8912.82
1583280000000.00,8754.34
1583366400000.00,8758.9
1583452800000.00,9067.39
1583539200000.00,9155.89
1583625600000.00,8898.63
1583712000000.00,8039.38
1583798400000.00,7931.94
1583884800000.00,7885.46
1583971200000.00,7936.65
1584057600000.00,4830.21
1584144000000.00,5609.03
1584230400000.00,5166.26
1584316800000.00,5348.44
1584403200000.00,5026.35
1584489600000.00,5357.61
1584576000000.00,5410.23
1584662400000.00,6195.2
1584748800000.00,6226.44
1584835200000.00,6189.85
1584921600000.00,5822.62
1585008000000.00,6502.16
1585094400000.00,6768.49
1585180800000.00,6698.46
1585267200000.00,6763.75
1585353600000.00,6369.09
1585440000000.00,6260.95
1585526400000.00,5885.41
1585612800000.00,6405.29
1585699200000.00,6428.28
1585785600000.00,6652.87
1585872000000.00,6809.11
1585958400000.00,6741.67
1586044800000.00,6871.69
1586131200000.00,6777.44
1586217600000.00,7343.2
1586304000000.00,7205.55
1586390400000.00,7365.03
1586476800000.00,7293.69
1586563200000.00,6873.24
1586649600000.00,6891.6
1586736000000.00,6915.37
1586822400000.00,6857.66
1586908800000.00,6871.95
1586995200000.00,6623.8
1587081600000.00,7112.27
1587168000000.00,7034.89
1587254400000.00,7259.36
1587340800000.00,7130.04
1587427200000.00,6840.24
1587513600000.00,6852.52
1587600000000.00,7130.99
1587686400000.00,7477.6
1587772800000.00,7507.08
1587859200000.00,7549.52
1587945600000.00,7699.27
1588032000000.00,7790.66
1588118400000.00,7765.33
1588204800000.00,8777.63
1588291200000.00,8628.77
1588377600000.00,8824.66
1588464000000.00,8973.82
1588550400000.00,8903.95
1588636800000.00,8885.93
1588723200000.00,9030.96
1588809600000.00,9170.79
1588896000000.00,10002.48
1588982400000.00,9821.8
1589068800000.00,9527.39
1589155200000.00,8754.46
1589241600000.00,8617.25
1589328000000.00,8814.53
1589414400000.00,9305.93
1589500800000.00,9790.31
1589587200000.00,9303.59
1589673600000.00,9385.7
1589760000000.00,9669.4
1589846400000.00,9719.37
1589932800000.00,9785.74
1590019200000.00,9510.67
1590105600000.00,9057.57
1590192000000.00,9167.26
1590278400000.00,9178.32
1590364800000.00,8730.73
1590451200000.00,8899.66
1590537600000.00,8842.85
1590624000000.00,9197.54
1590710400000.00,9569.21
1590796800000.00,9425.98
1590883200000.00,9698.1
1590969600000.00,9450.84
1591056000000.00,10204.23
1591142400000.00,9525.57
1591228800000.00,9658.04
1591315200000.00,9794.56
1591401600000.00,9623.75
1591488000000.00,9670.43
1591574400000.00,9753.85
1591660800000.00,9782.59
1591747200000.00,9775.15
1591833600000.00,9892.13
1591920000000.00,9286.42
1592006400000.00,9459.97
1592092800000.00,9473.5
1592179200000.00,9330.07
1592265600000.00,9426.7
1592352000000.00,9526
1592438400000.00,9454.81
1592524800000.00,9380.03
1592611200000.00,9300.15
1592697600000.00,9357.43
1592784000000.00,9284.78
1592870400000.00,9691.9
1592956800000.00,9621.49
1593043200000.00,9276.58
1593129600000.00,9240.85
1593216000000.00,9154.45
1593302400000.00,9004.23
1593388800000.00,9127.47
1593475200000.00,9185.35
1593561600000.00,9133.97
1593648000000.00,9236.38
1593734400000.00,9087.98
1593820800000.00,9072.42
1593907200000.00,9131.31
1593993600000.00,9089.09
1594080000000.00,9348.91
